Description
Zagreb is the capital of Croatia and its average temperature is 54.3
Manama is the capital of Bahrain and its average temperature is 80.87
Abu Dhabi is the capital of United Arab Emirates and its average temperature is 82.38
Addis Ababa is the capital of Ethiopia and its average temperature is 54.15
Bishkek is the capital of Kyrgyzstan and its average temperature is 52.4
Skopje is the capital of Macedonia and its average temperature is 54.19
Helsinki is the capital of Finland and its average temperature is 42.37
Algiers is the capital of Algeria and its average temperature is 63.53
Damascus is the capital of Syria and its average temperature is 62.09
Bern is the capital of Switzerland and its average temperature is 48.47
Cairo is the capital of Egypt and its average temperature is 72.12
Windhoek is the capital of Namibia and its average temperature is 64.1
Rabat is the capital of Morocco and its average temperature is 62.18
Paris is the capital of France and its average temperature is 51.87
Hanoi is the capital of Vietnam and its average temperature is 74.71
Tunis is the capital of Tunisia and its average temperature is 66.19
Amman is the capital of Jordan and its average temperature is 64.06
Santo Domingo is the capital of Dominican Republic and its average temperature is 64.84
Guatemala City is the capital of Guatemala and its average temperature is 65.91
Oslo is the capital of Norway and its average temperature is 41.37
Mexico City is the capital of Mexico and its average temperature is 62.45
Lisbon is the capital of Portugal and its average temperature is 60.44
Beijing is the capital of China and its average temperature is 54.39
Vientiane is the capital of Laos and its average temperature is 80.34
Tirana is the capital of Albania and its average temperature is 59.53
Bissau is the capital of Guinea-Bissau and its average temperature is 76.79
Tashkent is the capital of Uzbekistan and its average temperature is 59.46
Dublin is the capital of Ireland and its average temperature is 48.68
Budapest is the capital of Hungary and its average temperature is 51.81
Lilongwe is the capital of Malawi and its average temperature is 50.65
Muscat is the capital of Oman and its average temperature is 50.75
Maputo is the capital of Mozambique and its average temperature is 70.34
Kampala is the capital of Uganda and its average temperature is 63.75
Athens is the capital of Greece and its average temperature is -29.86
Tokyo is the capital of Japan and its average temperature is 60.92
Minsk is the capital of Belarus and its average temperature is 35.74
Tegucigalpa is the capital of Honduras and its average temperature is 70.15
Pyongyang is the capital of North Korea and its average temperature is 50.85
Vienna is the capital of Austria and its average temperature is 51.75
Islamabad is the capital of Pakistan and its average temperature is 59.87
Brussels is the capital of Belgium and its average temperature is 50.81
Dakar is the capital of Senegal and its average temperature is 75.13
Manila is the capital of Philippines and its average temperature is 81.85
Moscow is the capital of Russia and its average temperature is 42.27
Panama City is the capital of Panama and its average temperature is 79.28
Conakry is the capital of Guinea and its average temperature is 67.28
Prague is the capital of Czech Republic and its average temperature is 48.21
Madrid is the capital of Spain and its average temperature is 58.72
Antananarivo is the capital of Madagascar and its average temperature is 63.89
Seoul is the capital of South Korea and its average temperature is 52.94
Havana is the capital of Cuba and its average temperature is 74.88
Libreville is the capital of Gabon and its average temperature is 78.52
Bangui is the capital of Central African Republic and its average temperature is 75.47
Bucharest is the capital of Romania and its average temperature is 52.87
Rome is the capital of Italy and its average temperature is 60.54
Riga is the capital of Latvia and its average temperature is 44.85
Managua is the capital of Nicaragua and its average temperature is 80.77
Nouakchott is the capital of Mauritania and its average temperature is 73.25
Stockholm is the capital of Sweden and its average temperature is 44.93
Warsaw is the capital of Poland and its average temperature is 48.66
Doha is the capital of Qatar and its average temperature is 82.48
Lima is the capital of Peru and its average temperature is 67.78
Kuala Lumpur is the capital of Malaysia and its average temperature is 81.63
Paramaribo is the capital of Suriname and its average temperature is 76.48
Ottawa is the capital of Canada and its average temperature is 42.57
Bridgetown is the capital of Barbados and its average temperature is 70.68
Bratislava is the capital of Slovakia and its average temperature is 52.05
Jakarta is the capital of Indonesia and its average temperature is 81.85
Sofia is the capital of Bulgaria and its average temperature is 51.86
Beirut is the capital of Lebanon and its average temperature is 69.32
Caracas is the capital of Venezuela and its average temperature is 75.1
Banjul is the capital of Gambia and its average temperature is 76.09
Nassau is the capital of Bahamas and its average temperature is 77.78
Buenos Aires is the capital of Argentina and its average temperature is 62.81
Canberra is the capital of Australia and its average temperature is 55.92
Riyadh is the capital of Saudi Arabia and its average temperature is 78.62
Nairobi is the capital of Kenya and its average temperature is 57.78
Ankara is the capital of Turkey and its average temperature is 51.3
La Paz is the capital of Bolivia and its average temperature is 45.14
Singapore is the capital of Singapore and its average temperature is 81.5
Copenhagen is the capital of Denmark and its average temperature is 47.26
Lusaka is the capital of Zambia and its average temperature is 49.95
